
COPY ss_cat_neighbor_store (store_id, store_desc, area_id) FROM stdin;
435	PH ATIZAPAN	P5101
101	FELIX CUEVAS	P1103
103	PLAZA CASCADA / PLAN DE AYALA	P1109
104	PUNTO / POINT	P1103
105	LOMAS DE CHAPULTEPEC	P1111
107	QUERETARO CORREGIDORA	P3104
110	BOSQUES DE LAS LOMAS	P1105
114	POLANCO	P1105
115	MIGUEL ANGEL I	P1108
116	MIGUEL ANGEL II	P1108
117	PH CAPACITACION	P6101
118	SATELITE MUSICOS	P1106
119	CHURUBUSCO PH	P1105
120	CORDILLERAS	P3102
121	RUBEN DARIO	P3103
122	VALLE PONIENTE	P2104
123	CUMBRES	P2104
124	COUNTRY REVOLUCION	P2103
125	SANTO DOMINGO	P2105
126	PLAZA DEL SUR	P3102
127	VERACRUZ I	P1110
128	JUAREZ TECNOLOGICO	P2101
129	AGUASCALIENTES UNIVERSIDAD	P3104
130	TORREON COLON	P2102
131	FUENTES DE SATELITE	P1104
132	INSURGENTES SUR	P1108
133	TAMPICO HIDALGO	P2107
134	OBREGON / CD. OBREGON	P2701
135	AUTONOMA / GUADALAJARA U.A.G.	P3102
136	LEON	P3104
137	TORREON ROSITA	P2102
138	QUERETARO CONSTITUYENTES	P3104
139	CORDOBA	P1110
140	CELAYA TORRES LANDA	P3104
141	TORREON SUPER PIZZA	P2701
142	DX GUADALUPE	P2103
143	OAXACA PLAZA	P1110
144	LOS MOCHIS SINALOA	P2701
145	IRAPUATO	P3104
146	HERMOSILLO	P3101
147	CD. VALLES	P2107
148	CHIHUAHUA FUTURAMA	P2101
150	AGUASCALIENTES II JUAREZ	P3104
152	GOMEZ PALACIOS	P2102
153	CD. GUZMAN	P3103
154	MORELIA MICHOACAN	P3102
156	VERACRUZ II MATAMOROS	P1110
158	SALAMANCA	P3104
159	ZAMORA	P3102
160	TRANSITO	P3102
164	RIO GRANDE JUAREZ	P2101
166	CULIACAN SPH	YA02
167	NAVOJOA	P2701
168	CHIHUAHUA UNIVERSIDAD	P2701
169	PLAZA SATELITE REUBICACION	P1106
171	GUAYMAS	P3101
